country,ranking,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Argentina,5.5,0.25026000000000004,0.7474000000000001,217217.1,0.7308,0.0009189959999999998,6.2,0.12684,-4.7433,0.3,0.16828000000000004,140.0457,4.0,0.6188
Australia,5.5,0.301093,0.7309999999999999,199032.7,0.5676000000000001,1.318e-06,5.5,0.12723,-6.9632000000000005,0.6,0.13126000000000002,112.4793,4.0,0.4896
Austria,5.5,0.30762,0.7202,181236.6,0.6754,4.83e-06,6.6,0.12119000000000002,-6.132700000000001,0.5,0.19563000000000003,113.0906,4.0,0.5042
Belgium,5.5,0.3114100000000001,0.7005,192785.7,0.5981,5.1618e-05,5.2,0.12304,-6.279300000000001,0.7,0.09154,107.56020000000001,4.0,0.4699999999999999
Bolivia,5.5,0.21467,0.7896000000000001,221053.8,0.7471,0.0009213219999999998,6.3,0.11062000000000001,-4.1762,0.7,0.13470000000000001,114.30720000000001,4.0,0.6644000000000001
Brazil,5.5,0.39991,0.7148,166936.4,0.8130000000000001,4.5400000000000007e-07,6.4,0.44059,-3.3003,0.6,0.09570999999999999,136.94980000000004,4.0,0.6578999999999999
Bulgaria,5.5,0.27254300000000004,0.7644,203713.9,0.5048,0.000134318,6.1,0.1601,-8.166,0.6,0.14453000000000002,111.99370000000002,4.0,0.4227
Canada,5.5,0.31441300000000005,0.7886,195260.9,0.5171,1.318e-06,5.2,0.14723000000000003,-7.078899999999999,0.6,0.13793,106.70510000000002,4.0,0.49210000000000004
Chile,5.5,0.32120999999999994,0.7985,229494.2,0.6866,0.001980249,7.0,0.13538,-5.5161,0.4,0.12868000000000002,115.31700000000001,4.0,0.6018000000000001
Colombia,5.5,0.26397,0.7775000000000001,219096.2,0.7318999999999999,0.0009120089999999998,6.7,0.13779000000000002,-4.408599999999999,0.6,0.13648000000000002,122.7139,4.0,0.6881999999999999
Costa Rica,5.5,0.29317000000000004,0.7824,220784.9,0.6862,0.0009067219999999998,5.8,0.10790999999999999,-5.1303,0.5,0.16465000000000002,111.8261,4.0,0.6223999999999998
Cyprus,5.5,0.30661,0.7504,189548.7,0.5245000000000001,1.651e-06,4.6,0.14071000000000003,-7.092699999999999,0.7,0.13329000000000002,105.47320000000002,4.0,0.4937
Czechia,5.5,0.26066,0.6487,208970.4,0.562,1.121e-06,4.8,0.15743000000000001,-6.7968,0.7,0.09283000000000001,116.37040000000002,4.0,0.43857
Denmark,5.5,0.30461,0.7273,182575.7,0.5288,1.6159999999999999e-06,4.7,0.14843,-6.837599999999999,0.6,0.1048,110.69910000000002,3.9,0.5388
Dominican Republic,5.5,0.35308999999999996,0.7730999999999999,224848.5,0.6334,0.00119675,6.8,0.1379,-5.937199999999999,0.3,0.11629,124.9689,4.0,0.43610000000000004
Ecuador,5.5,0.22846999999999995,0.7843,220589.1,0.7444,0.0009266089999999998,6.6,0.12164000000000001,-4.0762,0.7,0.11743,114.6162,4.0,0.6754
El Salvador,5.5,0.29236999999999996,0.7985,225266.3,0.6821,0.0009067219999999998,6.0,0.11701999999999999,-5.1345,0.5,0.13445000000000001,119.5122,4.0,0.6191000000000001
Estonia,5.5,0.32060000000000005,0.7683,187692.6,0.47640000000000005,0.122501318,6.3,0.15233000000000002,-8.2755,0.7,0.15435000000000001,104.70600000000002,4.0,0.5014
Finland,5.5,0.18203999999999998,0.7335,198385.1,0.6235999999999999,0.0017612400000000003,6.2,0.15592999999999996,-6.7818,0.4,0.10826999999999998,106.99779999999998,3.9,0.47840000000000005
France,5.5,0.263407,0.7316,199568.7,0.6249,0.005154271,6.2,0.18144,-6.289899999999999,0.1,0.1423,124.103,4.0,0.4952
Germany,5.5,0.33402000000000004,0.7416,179071.7,0.6425000000000001,4.83e-06,6.5,0.12128999999999998,-6.7156,0.4,0.21374999999999997,118.74660000000002,4.0,0.485
Greece,5.5,0.26384299999999994,0.7569999999999999,203294.6,0.5165,0.000134318,5.6,0.16020000000000004,-7.866100000000001,0.7,0.13581,107.7886,4.0,0.39710000000000006
Guatemala,5.5,0.26406999999999997,0.791,227515.1,0.7061999999999999,0.0009213219999999998,5.8,0.11222000000000001,-4.9296999999999995,0.6,0.13567,119.80220000000001,4.0,0.5984
Honduras,5.5,0.33041,0.7798,221413.6,0.6747000000000001,0.0009166489999999997,7.2,0.12718999999999997,-5.0413,0.4,0.11798,127.6164,4.0,0.5745
Hong Kong,5.5,0.3961,0.6752,191198.1,0.5231999999999999,1.6779999999999999e-06,4.3,0.12963999999999998,-7.4214,0.7,0.11299000000000003,102.8181,4.0,0.45830000000000004
Hungary,5.5,0.29009700000000005,0.7007999999999999,186412.4,0.6083000000000001,2.717e-06,4.7,0.14017,-6.174300000000001,0.6,0.10701999999999998,105.1768,4.0,0.47020000000000006
Iceland,5.5,0.24973,0.7674,189083.0,0.5300999999999999,0.00041011,5.5,0.19441,-7.543199999999999,0.5,0.12840999999999997,105.585,4.0,0.588
Indonesia,5.5,0.3439,0.7024,193167.7,0.5730999999999999,1.2439999999999999e-06,2.9,0.10336000000000001,-6.121300000000001,0.5,0.12553999999999998,102.52019999999997,4.0,0.5693999999999999
Ireland,5.5,0.36289699999999997,0.702,187021.6,0.5054000000000001,4.474e-06,5.5,0.16153,-7.479899999999999,0.7,0.12048,114.79050000000002,4.0,0.4619
Israel,5.5,0.3448,0.6662999999999999,198037.1,0.534,1.3059999999999999e-06,5.8,0.1788,-7.223599999999999,0.6,0.13188,104.77539999999999,3.9,0.442
Italy,5.5,0.15973,0.7274,196719.4,0.6392999999999999,1.7985e-05,4.4,0.22171,-5.9999,0.5,0.14833000000000002,121.18230000000001,4.1,0.4901000000000001
Japan,5.5,0.148175,0.6218999999999999,249978.7,0.7428000000000001,1.1399999999999999e-06,3.9,0.11004999999999998,-4.818700000000001,0.9,0.06754,106.15450000000001,4.0,0.5211999999999999
Latvia,5.5,0.356887,0.7125999999999999,193480.0,0.48810000000000003,5.961399999999999e-05,5.2,0.16358999999999999,-8.059000000000001,0.5,0.11557999999999999,107.8904,3.9,0.4338
Lithuania,5.5,0.3244000000000001,0.7494,188208.2,0.5452,5.3078e-05,5.1,0.13577999999999996,-7.198299999999999,0.6,0.12713999999999998,107.1683,4.0,0.45649999999999996
Luxembourg,5.5,0.32741,0.7245999999999999,182687.9,0.5517,3.091e-06,5.6,0.13243000000000002,-6.952500000000001,0.8,0.14573,101.3259,4.0,0.5379
Malaysia,5.5,0.41271,0.6534000000000001,185212.1,0.5313,4.128e-06,5.5,0.11966000000000002,-7.2916,0.8,0.10439000000000001,107.27329999999999,4.0,0.4514
Malta,5.5,0.35581,0.7571999999999999,197265.4,0.5376000000000001,0.000854318,6.6,0.15223,-6.945300000000001,0.7,0.12165000000000001,107.071,4.0,0.5378000000000001
Mexico,5.5,0.24762,0.7924,223127.5,0.6861,0.0009205219999999997,4.8,0.11846000000000001,-5.1342,0.6,0.17345000000000005,112.8305,4.0,0.5818
Netherlands,5.5,0.15924,0.7253999999999999,193541.7,0.6326,0.0019476519999999998,5.1,0.21727,-7.1907,0.6,0.13123999999999997,113.80080000000001,4.0,0.5143
New Zealand,5.5,0.29895999999999995,0.7259,191230.7,0.4998999999999999,0.033401318,4.5,0.14493000000000006,-7.699900000000001,0.7,0.12009,105.67330000000001,4.0,0.44580000000000003
Nicaragua,5.5,0.34301,0.7842,218465.0,0.6410000000000001,0.0009809619999999997,5.4,0.13393000000000002,-5.793799999999999,0.5,0.1677,117.4161,4.0,0.5824999999999999
